sem,Qns,Answer,Discussion,Team,Case Study,Trainer's Notes
https://www.examtopics.com/exams/google/professional-cloud-architect/view/,,,,,Q: 1 - 40,
Topic 1 Qn 1,1,D,"Keywords: need to keep the old version of the API available and deployable, while allowing new customers and testers to try out the new API. keep the same SSL and DNS records in place to serve both APIs
D is correct: You are able to preserve your front-end configuration (i.e keep your existing SSL and DNS), and the Load Balancer can route traffic to the old or new backend group

A is incorrect: By configuring a new LB, this would break the requirement to keep the SAME DNS record
B is incorrect:This violates the requirement to keep the old version of the API while allow new customers to try the new API. Reconfiguring is also an administrative nightmare
C is incorrect: This option is inefficient. Request had to go through the old API 1st regardless, even the request is for the new API. The new API will process it and send back to user thru the old API",1,,
Topic 1 Qn 2,2,A,"Company plans to migrate a multi-petabyte data set to the cloud. The data set must be available 24hrs a day. Your business analysts have experience only with using a SQL interface.

Answer is A - BigQuery is a serverless, highly scalable cloud data warehouse designed specifically to store and analyze petabytes of data. Supports SQL to query the data and ensures high availability
B - Cloud SQL is a relational database service not architected to handle multi-petabyte analytics, and its storage capacity is significantly lower than what a multi-petabyte dataset requires.
C - While Cloud Storage can easily hold petabytes of flat files cheaply, it does not natively provide a SQL interface
D - Datastore is a NoSQL document database not for large-scale data warehousing or analytical queries and does not support standard SQL interfaces.",1,,
Topic 1 Qn 3,3,CDE,"List 3 recommended practices when migrating a J2EE application to the cloud.

Answer is CDE
C - Having an enterprise-grade monitoring and debugging suite allows the operations team to capture logs, track performance bottlenecks, and debug the application in real-time as it transitions to the cloud.
D - Automation frameworks ensure that environments are identical, repeatable, and easily destroyed or scaled. 
E - CI/CD pipeline ensures that any changes to the J2EE application are automatically built, tested, and validated in a staging environment before hitting production
 
A - Directly porting this code to a highly opinionated PaaS like Google App Engine standard/flexible often requires a massive, costly code rewrite. A lift-and-shift to Compute Engine (VMs) or containerizing into Google Kubernetes Engine (GKE) is the preferred initial step.
B - Cloud Dataflow is a heavy-duty data processing service for batch and streaming data pipelines. Using it just to capture basic application metrics is over-engineering and introduces unnecessary cost and architectural complexity.
F - Forcing a migration from a relational MySQL database to a NoSQL database like Cloud Bigtable or Datastore would require completely re-architecting the application's data layer.",1,,
Topic 1 Qn 4,4,A,"A - The session variable is local to just a single instance. 
When traffic spikes, App Engine routes a user's consecutive requests across different backend instances. If Request 1 hits Instance A, their viewed articles are saved to Instance A's memory. If Request 2 hits Instance B, Instance B's sessions dictionary has no record of that user. It treats them as a brand-new visitor and serves them the exact same news articles they just saw.",1,,
Topic 1 Qn 5,5,C,"Want a better logging tool to capture errors and help them analyze their historical log data.

C- Help them define their requirements and assess viable logging tools. Rafi say that as cloud architects, we should understand customer requirements first before recommending solutions",1,,
Topic 1 Qn 6,6,AC,"This question is testing our knowledge on deployment strategies to reduce system-wide failure.

Correct - Option A involves running two identical production environments (green-blue deployment model). This provides a near-instant recovery path, helping to eliminate the ""unplanned"" rollback, making this one of the choices to choose.

Incorrect - Option B involves deploying the change to a small set of users, monitoring it for errors, then gradually increasing the rollout. Should an error occur, only the small set is affected, a rollback can be done without impacting the userbase, make this one of the choices to choose. BUT it should NEVER REPLACE pre-production QA testing. Should do BOTH. Do not eliminate QA

Correct - Option C. Because teams can deploy updates to individual services independently. If an error occurs in the ""billing service,"" only that tiny service needs a rollback; the rest of the web hosting platform stays up and completely unaffected.

Incorrect - Option D & E should not be chosen because changing the database architecture is a foundational infrastructure migration. It does not address the issue of ""errorneuous production deployments"".",1,,
Topic 1 Qn 7,7,AD,"""A is correct: Keywords: """"require state to persist""""
--no-auto-delete flag ON ensures that the disk state can survive deletion or restart scenarios

D is correct: Keywords: """"providing cost visibility to the finance department, associate cost to groups""""
By attaching Labels to resources and using BigQuery billing export, the billing logs can be streamed into BigQuery for subsequent query using SQL

B is incorrect: Setting --auto-delete flag ON will permanently wipe out the attached persistent disks.
C is incorrect: """"VM CPU utilization"""" is not a valid key-value metadata Label that can be injected into a BigQuery Billing Export
E is incorrect: Local SSDs cannot survive a VM stop or termination 
F is incorrrect: Operational nightmare since it involves moving states to Cloud Storage every single time a developer stops a machine multiple times a day""",1,,AD
Topic 1 Qn 8,8,B,"Keywords: ""reports its status every second, 1000 meeting rooms, sensor ID and several different discrete items of information""
B is correct: NoSQL databases handle massive horizontal scaling and sub-millisecond write latencies exceptionally well

A is incorrect: Flat file cannot gracefully handle 1,000 concurrent, millisecond-level streaming writes. It also lacks concurrency control, indexing, and is highly inefficient for analysts who need to run immediate queries
C is incorrect: Relational system is not optimized for high-throughput, constant time-series writes. Performance degradation, very expensive to scale horizontal
D is incorrect: Blobstore is designed for unstructured, large binary objects (images, videos, backups). Saving a tiny single-second sensor payload as an individual blob object would result in massive storage overhead. ",1,,
Topic 1 Qn 9,9,C,"VM instances are being terminated and re-launched every minute. The instances do not have a public IP address and the appropriate web response is coming from each instance using the curl command.
The managed instance group is not able to reach the instances as they do not have a public ip and assumes the VM is broken. This causes the instances to continuously terminate and recreate.
Answer is C as it allows the health checks to reach the instances",1,,
